RG,SITE ID,EPA ID,SITE NAME,STREET ADDRESS,STREET ADDRESS 2,CITY,STATE,ZIP,CONG DISTRICT,COUNTY,FIPS CODE,LATITUDE,LONGITUDE,NPL,FF,NON NPL STATUS,,,,
01,0100076,CTD001168574,RISDON COMPANY (FORMER),2100 SOUTH MAIN STREET,,WATERBURY,CT,06706,05,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Ongoing, ,,,
01,0100077,CTD001170067,MAILLY MANUFACTURING COMPANY,WAKELEE ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.57,-73,Site is Part of NPL Site,N,, ,,,
01,0100078,CTD001170091,KRAS TOOL & MACHINE COMPANY,701 WOLCOTT ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100079,CTD001170992,WATERBURY HEAT TREATING,76 WOLCOTT ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.57,-72.99,Site is Part of NPL Site,N,, ,,,
01,0100082,CTD001174036,"NITE BRITE SIGN COMPANY, INC. (FORMER)",786 MAIN STREET,,MONROE,CT,06468,05,FAIRFIELD,09001,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100088,CTD001181148,EXIDE CORPORATION,2190 POST ROAD,,FAIRFIELD,CT,06430,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100091,CTD001185917,"LINE MANUFACTURING, INC.",TOWN LINE ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.57,-73,Site is Part of NPL Site,N,, ,,,
01,0100094,CTD001186618,"RAYMARK INDUSTRIES, INC.",75 EAST MAIN STREET,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.20127,-73.11722,Currently on the Final NPL,N,, ,,,
01,0100096,CTD001339464,"RAPID POWER TECHNOLOGIES/RAPID ELECTRIC COMPANY, INC.",18 OLD GRAYS BRIDGE ROAD,,BROOKFIELD,CT,06804,05,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100101,CTD001446467,"MERRIFIELD PAINT COMPANY, INC.",47 INWOOD ROAD,,ROCKY HILL,CT,06067,01,HARTFORD,09003,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100103,CTD001449172,"DENOMINATOR COMPANY, INC.",740 MAIN STREET,,SOUTH WOODBURY,CT,06798,06,LITCHFIELD,09005,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100107,CTD001452077,DURHAM MANUFACTURING,84 MAIN STREET,,DURHAM,CT,06422,02,MIDDLESEX,09007,41.48,-72.68,Site is Part of NPL Site,N,, ,,,
01,0100108,CTD001452093,DURHAM MEADOWS,124 MAIN ST,,DURHAM,CT,06422,02,MIDDLESEX,09007,41.48111,-72.68138,Currently on the Final NPL,N,, ,,,
01,0100110,MAN000100110,WESTFORD MA TRAIN DERAILMENT,100 North Main Street   Intersecting at Bridge St,,WESTFORD,MA,01886,03,MIDDLESEX,25017,,,Not on the NPL,N,Removal Only Site (No Site Assessment Work Needed), ,,,
01,0100113,CTD001859776,TRW MARLIN ROCKWELL DIV. (FORMER),161 WOODFORD AVENUE,,PLAINVILLE,CT,06062,06,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100117,CTD002344257,CARPENTER TECHNOLOGY CORPORATION,837 SEAVIEW AVENUE,,BRIDGEPORT,CT,06607,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100121,CTD004532610,REVERE TEXTILE PRINTS CORP.,RAILROAD AVENUE,,STERLING,CT,06377,02,WINDHAM,09015,41.70833,-71.82916,Deleted from the Final NPL,N,, ,,,
01,0100122,CTD004534657,"LOOS & CO, INC.",1 CABLE ROAD (RTE 101),,POMFRET,CT,06258,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100123,CTD006916746,"A. N. PIERSON, INC.",NEW LANE,,CROMWELL,CT,06416,01,MIDDLESEX,09007,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100124,CTD009717604,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,LAZY LANE,,SOUTHINGTON,CT,06489,01,HARTFORD,09003,41.6196,-72.878,Currently on the Final NPL,N,, ,,,
01,0100125,CTD009774969,YAWORSKI WASTE LAGOON,PACKER ROAD,,CANTERBURY,CT,06331,02,WINDHAM,09015,41.66945,-71.96416,Currently on the Final NPL,N,, ,,,
01,0100127,CTD018646752,"BUELLS GREENHOUSES, INC.",11 TO 13 WEEKS ROAD WEST,,EASTFORD,CT,06242-9755,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100128,CTD018767921,NEW MILFORD LANDFILL,182 DANBURY ROAD,,NEW MILFORD,CT,06776,06,LITCHFIELD,09005,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100131,CTD018811273,R. A. M. CHROMIUM CORPORATION (FORMER),7 VILLAGE STREET,,WILLINGTON,CT,06265,02,TOLLAND,09013,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100132,CTD018830166,SPADA'S ROTARY SHOP,FERRY BOULEVARD,,STRATFORD,CT,06497,04,FAIRFIELD,09001,41.19,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100135,CTD018860551,"STARBUCK SPRAGUE, INC.",737 BANK STREET,,WATERBURY,CT,06725,02,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100136,CTD021807508,PIONEER PRODUCTS - 1,EAST HADDAM INDUSTRIAL PARK,,EAST HADDAM,CT,06423,02,MIDDLESEX,09007,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100138,CTD039056148,ECHLIN MANUFACTURING COMPANY,175 NORTH BRANFORD ROAD,,BRANFORD,CT,06405,03,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100139,CTD039274923,HIGGANUM COVE,19 NOSAL ROAD,,HADDAM,CT,06438,02,MIDDLESEX,09007,,,Not on the NPL,N,Referred to Removal - NFRAP, ,,,
01,0100141,CTD042279513,"KING INDUSTRIES, INC.",SCIENCE ROAD,,NORWALK,CT,06852,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100144,CTD043211101,HIGHLINE PRODUCTS,330 BOSTON POST ROAD,,OLD SAYBROOK,CT,06475,02,MIDDLESEX,09007,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100146,CTD044122018,CONNECTICUT ENGINEERING ASSOC CORP,PHILO CURTIS ROAD,,NEWTOWN,CT,06470,05,FAIRFIELD,09001,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100147,CTD044122083,SUPERIOR STEEL PRODUCTS CORPORATION,PECK LANE,,CHESHIRE,CT,06410,05,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100148,CTD045110913,INTERROYAL CORPORATION,20 RESERVOIR STREET,,PLAINFIELD,CT,06374-1234,02,WINDHAM,09015,,,Not on the NPL,N,Referred to Removal - NFRAP, ,,,
01,0100153,CTD049185952,DELTA IND/THIOKOL CORP,39 BRADLEY PARK ROAD,,EAST GRANBY,CT,06026,06,HARTFORD,09003,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100156,CTD051316313,PRECISION PLATING CORP.,1050 HARTFORD TURNPIKE ROAD,,VERNON,CT,06066-4413,02,TOLLAND,09013,41.85007,-72.44922,Currently on the Final NPL,N,, ,,,
01,0100157,CTD051486686,MATHEIS COURT PROPERTY,270 MAIN STREET (BEHIND),,NORWALK,CT,06851,04,FAIRFIELD,09001,41.13,-73.42,Site is Part of NPL Site,N,, ,,,
01,0100158,CTD052708450,NORANDA METAL INDUSTRIES,PROSPECT DRIVE,,NEWTOWN,CT,06470,05,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100159,CTD052710829,"GRODEL MANUFACTURING, INC.",1258 SOUTH MAIN STREET,,WATERBURY,CT,06701,03,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Ongoing, ,,,
01,0100163,CTD058862194,RISDON CORPORATION,60 ELECTRIC AVENUE,,THOMASTON,CT,06787,06,LITCHFIELD,09005,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100164,CTD059825893,E. B. EXTERMINATING COMPANY,107 MOODUS-LEESVILLE ROAD (RTE 151),,EAST HADDAM,CT,06423,02,MIDDLESEX,09007,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100166,CTD060005766,ANACONDA INDUSTRIES,75 LIBERTY STREET,,ANSONIA,CT,06401,05,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100167,CTD060010923,COASTAL TANK LINES,419 SOUTH CHERRY STREET,,WALLINGFORD,CT,06492,03,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100169,CTD061358792,AIRPAX CORPORATION - PLANT 1 (FORMER)/PHILLIPS ELECTRONICS,150 KNOTTER DRIVE,,CHESHIRE,CT,06410,05,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100175,CTD065519258,DIP N STRIP,1340 MAIN STREET,,COVENTRY,CT,06238,02,TOLLAND,09013,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100176,CTD067072355,"ANAMET, INC.",698 SOUTH MAIN STREET,,WATERBURY,CT,06275,02,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100177,CTD067072371,ANSONIA COPPER & BRASS,725 BANK STREET,,WATERBURY,CT,06706,05,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100180,CTD072122062,BEACON HEIGHTS LANDFILL,BLACKBERRY HILL ROAD,,BEACON FALLS,CT,06403,03,NEW HAVEN,09009,41.43195,-73.03528,Currently on the Final NPL,N,, ,,,
01,0100181,CTD072124092,DEEP RIVER DUMP,ROUTE 80,,DEEP RIVER,CT,06417,02,MIDDLESEX,09007,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100184,CTD075394254,ZOLLO DRUM COMPANY,100 RAILROAD AVENUE,,BEACON FALLS,CT,06403-1000,03,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100188,CTD081300113,ILLUSTRATED PRINTING COMPANY,SAYBROOK ROAD,,HADDAM,CT,06438,02,MIDDLESEX,09007,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100190,CTD083335463,CLARK DEWATERING LIMITED,299 HOP RIVER ROAD (ROUTE 6),,BOLTON,CT,06084,02,TOLLAND,09013,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100192,CTD083341081,EAST HADDAM MUNICIPAL LANDFILL,NICHOLS ROAD,,EAST HADDAM,CT,06423,02,MIDDLESEX,09007,,,Not on the NPL,N,NFRAP-Site does not qualify for the NPL based on existing information, ,,,
01,0100193,CTD084798289,LANDFILL ASSOCIATES,2891 STATE STREET,,HAMDEN,CT,06514,03,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Ongoing, ,,,
01,0100197,CTD095236931,"EXXON ENTERPRISES, INC.",1112 FEDERAL ROAD,,BROOKFIELD,CT,06804,05,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100200,CTD098186042,ALLING LANDER COMPANY,300 EAST JOHNSON AVENUE,,CHESHIRE,CT,06410,05,NEW HAVEN,09009,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100201,CTD108960972,GALLUP'S QUARRY,ROUTE 12,,PLAINFIELD,CT,06374,02,WINDHAM,09015,41.66528,-71.92416,Currently on the Final NPL,N,, ,,,
01,0100202,CTD137504569,"JACOBS MANUFACTURING COMPANY, THE",176 NEWINGTON ROAD (FORMERLY JACOBS RD),,WEST HARTFORD,CT,06107,01,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100203,CTD145339958,KRODEL FOUNDRY,35 PEARL LAKE ROAD,,WATERBURY,CT,06701,03,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Ongoing, ,,,
01,0100204,CTD980499511,SWIFT J. CHEMICAL COMPANY (FORMER),51 ALBANY TURNPIKE,,CANTON,CT,06019-2507,05,HARTFORD,09003,,,Not on the NPL,N,HRS Ongoing, ,,,
01,0100205,CTD980499537,WILTON LANDFILL,MATHER STREET,,WILTON,CT,06897,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100206,RIN000100206,Mann Chemical Sulfuric Acid Spill,3134 Post Road,,WARWICK,RI,02886,02,KENT,44003,,,Not on the NPL,N,Removal Only Site (No Site Assessment Work Needed), ,,,
01,0100208,CTD980499610,TOLLAND LANDFILL,OLD STAFFORD ROAD,,TOLLAND,CT,06084,02,TOLLAND,09013,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100212,CTD980520340,SHORT BEACH PARK AREA,DORNE DRIVE,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.16,-73.1,Site is Part of NPL Site,N,, ,,,
01,0100213,CTD980520357,RAYBESTOS MEMORIAL FIELD PARKING AREA,FROG POND LANE,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.2,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100214,CTD980520365,HOUSATONIC BOAT CLUB,SHORE ROAD,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.18,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100215,CTD980520464,KEMENT PARK LANDFILL,NORTH ROAD ( ROUTE 140),,EAST WINDSOR,CT,06016,01,HARTFORD,09003,,,Not on the NPL,N,Site Reassessment Ongoing, ,,,
01,0100221,CTD980521058,SPERRY SEMICONDUCTOR,380 MAIN AVENUE,,NORWALK,CT,06856,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup,,,,
01,0100222,CTD980521066,PFIZER WASTE DISPOSAL AREA,AVERY HILL EXTENSION,,LEDYARD,CT,06339,02,NEW LONDON,09011,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100224,CTD980521082,PINE SWAMP (OLIN CORPORATION),475 PUTNAM AVENUE,,HAMDEN,CT,06514,03,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100227,CTD980521116,MIDDLETOWN MUNICIPAL LANDFILL,JOHNSON STREET,,MIDDLETOWN,CT,06457,02,MIDDLESEX,09007,,,Not on the NPL,Y,NFRAP-Site does not qualify for the NPL based on existing information, ,,,
01,0100228,CTD980521124,EAST HARTFORD MUNICIPAL LANDFILL,215 ECOLOGY DRIVE,,EAST HARTFORD,CT,06108,01,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100230,CTD980521140,WINDHAM MUNICIPAL DUMP,333 BOSTON POST ROAD (ROUTE 6),,WINDHAM,CT,06226,02,WINDHAM,09015,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100232,CTD980521165,"LAUREL PARK, INC.",HUNTERS MTN RD,,NAUGATUCK BOROUGH,CT,06770,03,NEW HAVEN,09009,41.47693,-73.07166,Currently on the Final NPL,N,, ,,,
01,0100234,CTD980521181,MANCHESTER SANITARY LANDFILL,263 OLCOTT STREET,,MANCHESTER,CT,06040,01,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100237,CTD980523104,BEACON POINT LANDFILL,BEACON POINT ROAD,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.17,-73.12,Site is Part of NPL Site,N,, ,,,
01,0100238,CTD980523112,STRATFORD LANDFILL AREA,SHORT BEACH ROAD,,STRATFORD,CT,06497,03,FAIRFIELD,09001,41.16,-73.11,Site is Part of NPL Site,N,, ,,,
01,0100239,CTD980524193,MOTT METALLURGICAL COMPANY,84 SPRING LANE,,PLAINVILLE,CT,06062,06,HARTFORD,09003,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100240,CTD980524201,NEOWELD CORP II,282 KENT ROAD,,CORNWALL,CT,06753,05,LITCHFIELD,09005,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100243,CTD980524235,QUINIQUACK FARM,55 COTTON BRIDGE ROAD,,KILLINGLY,CT,06241,02,WINDHAM,09015,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100245,CTD980524615,HULL DYE & PRINT WORKS,ROOSEVELT DRIVE,,DERBY,CT,06418,05,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100246,CTD980524623,CHESHIRE MUNICIPAL LANDFILL,WATERBURY ROAD,,CHESHIRE,CT,06410,05,NEW HAVEN,09009,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100247,CTD980524631,BREAULT ROAD DISPOSAL AREA,BREAULT ROAD,,BEACON FALLS,CT,06403,05,NEW HAVEN,09009,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100248,CTD980524649,KALADISH WASTE DISPOSAL,426 ANDREWS MOUNTAIN ROAD,,NAUGATUCK,CT,06770-3613,03,NEW HAVEN,09009,,,Not on the NPL,N,Referred to Removal - Further Assessment Needed, ,,,
01,0100249,CTD980667992,O'SULLIVAN'S ISLAND,HOUSATONIC RIVER,,DERBY,CT,06428,05,NEW HAVEN,09009,,,Not on the NPL,N,Referred to Removal - NFRAP, ,,,
01,0100250,CTD980669261,NUTMEG VALLEY ROAD,NUTMEG VALLEY ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.5748,-72.9986,Deleted from the Final NPL,N,, ,,,
01,0100251,CTD980670806,OLD SOUTHINGTON LANDFILL,OLD TURNPIKE RD,,SOUTHINGTON,CT,06487,01,HARTFORD,09003,41.57916,-72.88193,Currently on the Final NPL,N,, ,,,
01,0100252,CTD980670814,KELLOGG-DEERING WELL FIELD,NORWALK WATER DEPARTMENT,,NORWALK,CT,06856,04,FAIRFIELD,09001,41.13055,-73.43195,Currently on the Final NPL,N,, ,,,
01,0100254,CTD980732325,POST NARROW FABRICS COMPANY,LONG HILL ROAD,,ANDOVER,CT,06232,02,TOLLAND,09013,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100255,CTD980732333,BARKHAMSTED-NEW HARTFORD LANDFILL,ROUTE 44,,BARKHAMSTED,CT,06063,01,LITCHFIELD,09005,41.98055,-73.04722,Currently on the Final NPL,N,, ,,,
01,0100256,CTD980906465,DOD/USN SB/OVERBANK DISPOSAL AREA NE 14,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.35,-72.04,Site is Part of NPL Site,Y,, ,,,
01,0100257,CTD980906473,DOD/USN SB/POWER PLANT OIL TANKS #11,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.35,-72.04,Site is Part of NPL Site,Y,, ,,,
01,0100258,CTD980906481,DOD/USN SB/RUBBLE FILL BUNKER A86 #4,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.35,-72.04,Site is Part of NPL Site,Y,, ,,,
01,0100259,CTD980906499,DOD/USN SB/DPDO AREA SITE #6,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.35,-72.04,Site is Part of NPL Site,Y,, ,,,
01,0100260,CTD980906507,DOD/USN SB/FUEL OIL STORAGE TANKS 10,US NAVAL SUBMARINE BASE,,GROTON,CT,06349,02,NEW LONDON,09011,41.35,-72.04,Site is Part of NPL Site,Y,, ,,,
01,0100261,CTD980906515,NEW LONDON SUBMARINE BASE,ROUTE 12 CRYSTAL LAKE RD,,NEW LONDON,CT,06349,02,NEW LONDON,09011,41.40013,-72.08708,Currently on the Final NPL,Y,, ,,,
01,0100262,CTD980909840,DONAHUE PROPERTY,PLATT ST AND CHARLES STREET,,NORWALK,CT,06855,04,FAIRFIELD,09001,,,Not on the NPL,N,Other Cleanup Activity: State-Lead Cleanup, ,,,
01,0100264,CTD980917074,SHELTON CLOSED DUMP,WILLOUGHBY ROAD,,SHELTON,CT,06484,05,FAIRFIELD,09001,,,Not on the NPL,N,Assessment Complete - Decision Needed, ,,,
01,0100265,CTD981067317,CHESHIRE GROUND WATER CONTAMINATION,604 WEST JOHNSON AVENUE,,CHESHIRE,CT,06410,05,NEW HAVEN,09009,41.5575,-72.91083,Deleted from the Final NPL,N,, ,,,
01,0100268,CTD981069180,CHARLES BATCHELDER COMPANY,46A SWAMP ROAD,,NEWTOWN (BOTSFORD),CT,06470-2710,05,FAIRFIELD,09001,,,Not on the NPL,N,Referred to Removal - NFRAP, ,,,
01,0100269,CTD981069198,DOVER MANUFACTURING CORPORATION,30 TOWN LINE ROAD,,WOLCOTT,CT,06716,05,NEW HAVEN,09009,41.57,-72.99,Site is Part of NPL Site,N,, ,,,
01,0100273,CTD981069230,LEWIS CORPORATION,716 MAIN STREET,,WOODBURY,CT,06798,06,LITCHFIELD,09005,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
01,0100275,NHN000100275,BLAKE LANE PROPERTY,10 Blake Lane,,HAMPTON,NH,03842,,ROCKINGHAM,33015,,,Not on the NPL,N,NFRAP-Site does not qualify for the NPL based on existing information, ,,,
01,0100276,CTD981069263,ROGERS MANUFACTURING COMPANY,72 MAIN STREET,,MIDDLEFIELD,CT,06455,02,MIDDLESEX,09007,,,Not on the NPL,N,Site Reassessment Start Needed, ,,,
